zeme;datum;pocet
Thailand;2020-01-22;    2
Thailand;2020-01-23;    3
Thailand;2020-01-24;    5
Thailand;2020-01-25;    7
Thailand;2020-01-26;    8
Thailand;2020-01-27;    8
Thailand;2020-01-28;   14
Thailand;2020-01-29;   14
Thailand;2020-01-30;   14
Thailand;2020-01-31;   19
Thailand;2020-02-01;   19
Thailand;2020-02-02;   19
Thailand;2020-02-03;   19
Thailand;2020-02-04;   25
Thailand;2020-02-05;   25
Thailand;2020-02-06;   25
Thailand;2020-02-07;   25
Thailand;2020-02-08;   32
Thailand;2020-02-09;   32
Thailand;2020-02-10;   32
Thailand;2020-02-11;   33
Thailand;2020-02-12;   33
Thailand;2020-02-13;   33
Thailand;2020-02-14;   33
Thailand;2020-02-15;   33
Thailand;2020-02-16;   34
Thailand;2020-02-17;   35
Thailand;2020-02-18;   35
Thailand;2020-02-19;   35
Thailand;2020-02-20;   35
Thailand;2020-02-21;   35
Thailand;2020-02-22;   35
Thailand;2020-02-23;   35
Thailand;2020-02-24;   35
Thailand;2020-02-25;   37
Thailand;2020-02-26;   40
Thailand;2020-02-27;   40
Thailand;2020-02-28;   41
Thailand;2020-02-29;   42
Thailand;2020-03-01;   42
Thailand;2020-03-02;   43
Thailand;2020-03-03;   43
Thailand;2020-03-04;   43
Thailand;2020-03-05;   47
Thailand;2020-03-06;   48
Thailand;2020-03-07;   50
Thailand;2020-03-08;   50
Thailand;2020-03-09;   50
Thailand;2020-03-10;   53
Thailand;2020-03-11;   59
Thailand;2020-03-12;   70
Thailand;2020-03-13;   75
Thailand;2020-03-14;   82
Thailand;2020-03-15;  114
Thailand;2020-03-16;  147
Thailand;2020-03-17;  177
Japan;2020-01-22;    2
Japan;2020-01-23;    1
Japan;2020-01-24;    2
Japan;2020-01-25;    2
Japan;2020-01-26;    4
Japan;2020-01-27;    4
Japan;2020-01-28;    7
Japan;2020-01-29;    7
Japan;2020-01-30;   11
Japan;2020-01-31;   15
Japan;2020-02-01;   20
Japan;2020-02-02;   20
Japan;2020-02-03;   20
Japan;2020-02-04;   22
Japan;2020-02-05;   22
Japan;2020-02-06;   45
Japan;2020-02-07;   25
Japan;2020-02-08;   25
Japan;2020-02-09;   26
Japan;2020-02-10;   26
Japan;2020-02-11;   26
Japan;2020-02-12;   28
Japan;2020-02-13;   28
Japan;2020-02-14;   29
Japan;2020-02-15;   43
Japan;2020-02-16;   59
Japan;2020-02-17;   66
Japan;2020-02-18;   74
Japan;2020-02-19;   84
Japan;2020-02-20;   94
Japan;2020-02-21;  105
Japan;2020-02-22;  122
Japan;2020-02-23;  147
Japan;2020-02-24;  159
Japan;2020-02-25;  170
Japan;2020-02-26;  189
Japan;2020-02-27;  214
Japan;2020-02-28;  228
Japan;2020-02-29;  241
Japan;2020-03-01;  256
Japan;2020-03-02;  274
Japan;2020-03-03;  293
Japan;2020-03-04;  331
Japan;2020-03-05;  360
Japan;2020-03-06;  420
Japan;2020-03-07;  461
Japan;2020-03-08;  502
Japan;2020-03-09;  511
Japan;2020-03-10;  581
Japan;2020-03-11;  639
Japan;2020-03-12;  639
Japan;2020-03-13;  701
Japan;2020-03-14;  773
Japan;2020-03-15;  839
Japan;2020-03-16;  825
Japan;2020-03-17;  878
Singapore;2020-01-22;    0
Singapore;2020-01-23;    1
Singapore;2020-01-24;    3
Singapore;2020-01-25;    3
Singapore;2020-01-26;    4
Singapore;2020-01-27;    5
Singapore;2020-01-28;    7
Singapore;2020-01-29;    7
Singapore;2020-01-30;   10
Singapore;2020-01-31;   13
Singapore;2020-02-01;   16
Singapore;2020-02-02;   18
Singapore;2020-02-03;   18
Singapore;2020-02-04;   24
Singapore;2020-02-05;   28
Singapore;2020-02-06;   28
Singapore;2020-02-07;   30
Singapore;2020-02-08;   33
Singapore;2020-02-09;   40
Singapore;2020-02-10;   45
Singapore;2020-02-11;   47
Singapore;2020-02-12;   50
Singapore;2020-02-13;   58
Singapore;2020-02-14;   67
Singapore;2020-02-15;   72
Singapore;2020-02-16;   75
Singapore;2020-02-17;   77
Singapore;2020-02-18;   81
Singapore;2020-02-19;   84
Singapore;2020-02-20;   84
Singapore;2020-02-21;   85
Singapore;2020-02-22;   85
Singapore;2020-02-23;   89
Singapore;2020-02-24;   89
Singapore;2020-02-25;   91
Singapore;2020-02-26;   93
Singapore;2020-02-27;   93
Singapore;2020-02-28;   93
Singapore;2020-02-29;  102
Singapore;2020-03-01;  106
Singapore;2020-03-02;  108
Singapore;2020-03-03;  110
Singapore;2020-03-04;  110
Singapore;2020-03-05;  117
Singapore;2020-03-06;  130
Singapore;2020-03-07;  138
Singapore;2020-03-08;  150
Singapore;2020-03-09;  150
Singapore;2020-03-10;  160
Singapore;2020-03-11;  178
Singapore;2020-03-12;  178
Singapore;2020-03-13;  200
Singapore;2020-03-14;  212
Singapore;2020-03-15;  226
Singapore;2020-03-16;  243
Singapore;2020-03-17;  266
Nepal;2020-01-22;    0
Nepal;2020-01-23;    0
Nepal;2020-01-24;    0
Nepal;2020-01-25;    1
Nepal;2020-01-26;    1
Nepal;2020-01-27;    1
Nepal;2020-01-28;    1
Nepal;2020-01-29;    1
Nepal;2020-01-30;    1
Nepal;2020-01-31;    1
Nepal;2020-02-01;    1
